,11,10,1:3:2:4:7:6:9:8,5
Signature.1,0.0,0.0,0.0353725627769,0.11784278994
Signature.2,0.0,0.0126404321541,0.0,0.0
Signature.3,0.0366162007888,0.13302975822,0.0866540877356,0.08151191583
Signature.4,0.18774268153,0.0,0.0,0.0
Signature.5,0.0,0.0,0.0134720198301,0.0
Signature.6,0.0,0.0616376637452,0.0,0.0
Signature.7,0.0143619669371,0.0,0.112973185145,0.0
Signature.8,0.0949032374845,0.0343796657167,0.0805723599593,0.168598120177
Signature.9,0.0,0.0,0.0,0.0140471110592
Signature.10,0.0,0.0158786008189,0.0,0.0
Signature.11,0.0162920609128,0.0,0.0,0.0
Signature.12,0.0243765526842,0.0277141547621,0.15101499184,0.0485132351327
Signature.13,0.0,0.0356544419697,0.0,0.0
Signature.14,0.137682110092,0.0860198033193,0.0,0.0
Signature.15,0.0,0.0,0.0193082217989,0.0
Signature.16,0.0,0.0,0.0740848384824,0.0165408299744
Signature.17,0.027903179018,0.147419145304,0.0,0.0
Signature.18,0.0127443138971,0.0,0.152631117264,0.0544297210425
Signature.19,0.0,0.0,0.0,0.0711845819059
Signature.20,0.0299676185575,0.086100998874,0.0727503899095,0.0
Signature.21,0.0215367283752,0.0,0.159961698625,0.0
Signature.22,0.0789909713606,0.0,0.0215185190715,0.196979064786
Signature.23,0.0899684861274,0.0406373500164,0.0,0.110305418883
Signature.24,0.0,0.0212799709517,0.0,0.0
Signature.25,0.0,0.208207918563,0.0,0.0141368508977
Signature.26,0.0,0.0,0.0196860075622,0.0
Signature.27,0.0588144521753,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0,0.0587641882505
Signature.29,0.122768151158,0.0461727647677,0.0,0.0471461721215
Signature.30,0.0453312889014,0.0432273308166,0.0,0.0
