,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.178874403371
Signature.3,0.0
Signature.4,0.0201203267097
Signature.5,0.420511908059
Signature.6,0.104827679833
Signature.7,0.0241542794873
Signature.8,0.0
Signature.9,0.0842969182069
Signature.10,0.0
Signature.11,0.0247841011037
Signature.12,0.0
Signature.13,0.0187577794469
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0497335724262
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0359990254914
Signature.24,0.0155539085491
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0223860973162
