,11,10:1:3:2:4:9:8,5,7:6
Signature.1,0.0,0.0,0.0,0.0468575640149
Signature.2,0.0,0.0959776761083,0.121943287059,0.0
Signature.3,0.17703583405,0.140918276578,0.0,0.0
Signature.4,0.0183126425619,0.0,0.0,0.0
Signature.5,0.0199559270753,0.0,0.255458878926,0.0
Signature.6,0.10510613152,0.0207790183279,0.0127630374862,0.0476725552295
Signature.7,0.0,0.0,0.0,0.0266648025371
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0495556646771,0.0,0.0,0.0815671197723
Signature.10,0.0,0.0435494796688,0.260829549072,0.0756397915751
Signature.11,0.074488845293,0.0219785027226,0.0,0.0
Signature.12,0.0135560281691,0.0,0.0,0.0283793901919
Signature.13,0.0169709251602,0.0,0.0,0.0177287803932
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.150740515082,0.0,0.0109612803853,0.0
Signature.16,0.0408352279588,0.0,0.0,0.080581156674
Signature.17,0.0,0.0223494258517,0.016498589261,0.136921994674
Signature.18,0.096213903359,0.0,0.0,0.0
Signature.19,0.0,0.0557853296077,0.0192161060666,0.0
Signature.20,0.0,0.017686990567,0.0169462491282,0.0
Signature.21,0.0,0.245834465681,0.0123607590127,0.0
Signature.22,0.0,0.113353125148,0.0,0.0260747183657
Signature.23,0.0369099436471,0.0,0.0439044624059,0.0784765544956
Signature.24,0.0902072261229,0.0325477637733,0.135246181018,0.34295337384
Signature.25,0.0647845735241,0.0,0.0,0.0
Signature.26,0.0,0.0,0.0289468076885,0.0
Signature.27,0.0174936255445,0.0,0.0,0.0
Signature.28,0.0278329862549,0.0,0.0649248124911,0.0
Signature.29,0.0,0.0819012703208,0.0,0.0
Signature.30,0.0,0.107338675645,0.0,0.0104821982361
