,1:2:7,3,5:4:6
Signature.1,0.316272300052,0.029285319839,0.0209615628022
Signature.2,0.0189384103617,0.0,0.0668145591833
Signature.3,0.0792370331975,0.0,0.0125192000903
Signature.4,0.0,0.0435931411632,0.0
Signature.5,0.0,0.0,0.156642100187
Signature.6,0.0217725154115,0.0943745220911,0.0125132876079
Signature.7,0.0,0.0,0.0
Signature.8,0.0118692756897,0.0,0.0
Signature.9,0.134403703112,0.0,0.0324459938657
Signature.10,0.0270890849908,0.0,0.0742638256691
Signature.11,0.0,0.0,0.0699064531156
Signature.12,0.0,0.0,0.0
Signature.13,0.0106206065343,0.0804464184922,0.0179454922353
Signature.14,0.0460626307676,0.0,0.0
Signature.15,0.0,0.168401392092,0.0373055742154
Signature.16,0.0,0.0,0.0294497324584
Signature.17,0.0,0.0,0.0
Signature.18,0.0225970810215,0.0,0.0
Signature.19,0.0,0.0,0.0839462780504
Signature.20,0.0156102066187,0.0,0.0358815625491
Signature.21,0.0189164430301,0.0,0.0
Signature.22,0.0143262929995,0.0294392437179,0.0
Signature.23,0.141110356801,0.0,0.0
Signature.24,0.0288934457902,0.0,0.0846536121837
Signature.25,0.0,0.494785763307,0.0
Signature.26,0.0,0.0596741992973,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0559027667611,0.0,0.211849270422
Signature.29,0.0103232387637,0.0,0.0529014953648
Signature.30,0.026054608097,0.0,0.0
