,11:9:10,1:3:5:4:7:6:8,2
Signature.1,0.0,0.0131481595808,0.187006541641
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.154044141996,0.030763601372
Signature.5,0.303540486961,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.055048630004,0.0,0.0
Signature.10,0.0810335041373,0.135825878042,0.0
Signature.11,0.0744826793891,0.0,0.0
Signature.12,0.0,0.171303332056,0.108609768071
Signature.13,0.0,0.0220551068078,0.0
Signature.14,0.116034852636,0.0,0.0
Signature.15,0.0,0.0,0.0325812446667
Signature.16,0.0,0.0,0.0899302247626
Signature.17,0.0,0.0389867442712,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.0,0.0275516736293,0.0
Signature.20,0.0,0.0217975679147,0.0
Signature.21,0.0323658395165,0.0678048110873,0.0580598670015
Signature.22,0.0,0.0,0.0
Signature.23,0.0222453913758,0.0423417267211,0.323618537226
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.0
Signature.26,0.0689606596284,0.236288014891,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.113453379697,0.0,0.169430215259
Signature.29,0.0696542066222,0.0688528430028,0.0
Signature.30,0.0631803700333,0.0,0.0
