,1:2:5:7:6,3:4
Signature.1,0.062835182683,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0331007022837
Signature.4,0.0,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.189257805356,0.0340999426479
Signature.8,0.0,0.0138507271195
Signature.9,0.0,0.0
Signature.10,0.14266962622,0.108186956862
Signature.11,0.0,0.0332956575798
Signature.12,0.0724663325918,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.159443714978
Signature.16,0.0,0.209091240558
Signature.17,0.138195660514,0.0
Signature.18,0.0330309059637,0.0
Signature.19,0.0,0.0160298091455
Signature.20,0.0,0.0383117394437
Signature.21,0.0,0.0
Signature.22,0.0711626084413,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0,0.282602573633
Signature.26,0.0,0.0115567621899
Signature.27,0.258016114669,0.0
Signature.28,0.0323657635618,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0604301735586
