,11:9:10,1:3:2:7:6:8,5,4
Signature.1,0.0134401369448,0.0,0.0,0.0229078446715
Signature.2,0.0,0.184806474145,0.0,0.0
Signature.3,0.0699377509533,0.0245112742353,0.0491437664033,0.204952571931
Signature.4,0.150607522534,0.0,0.126425479265,0.0283927251932
Signature.5,0.0,0.164518979405,0.0,0.0164624626774
Signature.6,0.476468759055,0.0404087324692,0.0,0.0
Signature.7,0.0,0.0,0.15194075941,0.0
Signature.8,0.0,0.266732950507,0.0168302900702,0.0
Signature.9,0.0,0.0222466282801,0.0,0.14028935799
Signature.10,0.0105155425272,0.0,0.0,0.0
Signature.11,0.0395581435602,0.0,0.149357300587,0.0
Signature.12,0.104902882474,0.0,0.0,0.0369571853352
Signature.13,0.0264468432034,0.0,0.0,0.0663734153332
Signature.14,0.0,0.0,0.0719439887894,0.0
Signature.15,0.0,0.0,0.109706745212,0.0
Signature.16,0.0,0.0,0.0429413574221,0.0426620064807
Signature.17,0.0,0.0,0.0504831897223,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0321348986929,0.0673981259778,0.04723761498
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0,0.0174918782703,0.0121526563263,0.0273770156636
Signature.22,0.0316213235519,0.0893536088424,0.0178921626974,0.0392999947001
Signature.23,0.0,0.0272990735505,0.0239576376101,0.0
Signature.24,0.0,0.0,0.0,0.0
Signature.25,0.0229111306499,0.0,0.0,0.0119845731888
Signature.26,0.0,0.0371380092757,0.0179300385812,0.101370541583
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.0933574923268,0.0,0.181524180599
Signature.29,0.0535899645455,0.0,0.01483760823,0.017569726939
Signature.30,0.0,0.0,0.0770588936951,0.0146387827337
