,11:10:1:3:2:5:4:6:9,7,8
Signature.1,0.0,0.0,0.0467262143322
Signature.2,0.0,0.0,0.0
Signature.3,0.0792754939932,0.0110916307906,0.0
Signature.4,0.0,0.0634802244986,0.0
Signature.5,0.0,0.0,0.149671845756
Signature.6,0.12547997131,0.0367557441624,0.0
Signature.7,0.0386178734649,0.0,0.0
Signature.8,0.0,0.0113838273198,0.12994004131
Signature.9,0.0521291526079,0.0,0.076928144104
Signature.10,0.0730449711628,0.0,0.178583721346
Signature.11,0.103754441725,0.0728065293648,0.0593131591577
Signature.12,0.0,0.0,0.0515715567169
Signature.13,0.0,0.318250627837,0.0
Signature.14,0.0379987588072,0.343620044437,0.0980282741458
Signature.15,0.0181650855642,0.0,0.0
Signature.16,0.0145431549736,0.0,0.0
Signature.17,0.0,0.0,0.143229777031
Signature.18,0.0,0.0,0.0
Signature.19,0.0271109902396,0.0364671390547,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0233505986858,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0907656476176,0.0,0.0
Signature.25,0.0,0.0,0.041091361307
Signature.26,0.0,0.0,0.0
Signature.27,0.287221777091,0.0,0.0
Signature.28,0.0,0.0,0.0
Signature.29,0.0279687039628,0.0705262189347,0.0
Signature.30,0.0239239774805,0.0122674149145,0.0249159047939
