,1:3:2:5:4:6,7
Signature.1,0.0120351912908,0.0189271081035
Signature.2,0.0,0.148620498478
Signature.3,0.0,0.032837568895
Signature.4,0.0563461524847,0.0
Signature.5,0.117773564746,0.0191087708178
Signature.6,0.0390250310652,0.0
Signature.7,0.0,0.205415905607
Signature.8,0.0,0.0
Signature.9,0.0445554140502,0.277712009403
Signature.10,0.106433512199,0.0521363225314
Signature.11,0.0,0.0
Signature.12,0.0188701148714,0.137819710528
Signature.13,0.104819084258,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.0131446016577
Signature.16,0.0203422287808,0.0
Signature.17,0.0162931061735,0.0
Signature.18,0.0,0.0
Signature.19,0.0,0.0
Signature.20,0.0123711478999,0.0
Signature.21,0.245236817742,0.0
Signature.22,0.0,0.0
Signature.23,0.0,0.0
Signature.24,0.177738656426,0.0
Signature.25,0.0281599780129,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.0942775039785
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0
