,1:3:2
Signature.1,0.0
Signature.2,0.0308640334464
Signature.3,0.0
Signature.4,0.195455042182
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.015450528777
Signature.13,0.0161906909053
Signature.14,0.0
Signature.15,0.181391895089
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0418806225977
Signature.21,0.14595274705
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0157087122375
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.260900760014
Signature.29,0.0
Signature.30,0.096204967702
