,1:3:2:5:4
Signature.1,0.0426713018477
Signature.2,0.0784087239721
Signature.3,0.0
Signature.4,0.0391574432153
Signature.5,0.0932223783843
Signature.6,0.0276202340886
Signature.7,0.0
Signature.8,0.0352159688762
Signature.9,0.0485396331671
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0131876665364
Signature.16,0.0
Signature.17,0.0681322684354
Signature.18,0.0
Signature.19,0.0134679408463
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0646963649984
Signature.24,0.0
Signature.25,0.0507697279286
Signature.26,0.0434612334121
Signature.27,0.0
Signature.28,0.3046933969
Signature.29,0.025161193021
Signature.30,0.0515945243705
