,1:3:2,5,4,9:8:7:6
Signature.1,0.0,0.0,0.0229692864872,0.155685547525
Signature.2,0.0,0.0584391419173,0.0,0.0545369611722
Signature.3,0.0,0.0,0.0,0.0158528387892
Signature.4,0.0,0.0,0.0,0.0512014127956
Signature.5,0.0,0.0,0.0259430311528,0.0656693273051
Signature.6,0.0,0.0142834400872,0.187837241785,0.0
Signature.7,0.0,0.110139533478,0.0,0.0
Signature.8,0.0,0.0,0.0112476465673,0.0
Signature.9,0.0928942978798,0.0,0.0,0.129362060856
Signature.10,0.0517886438277,0.0,0.0266245709553,0.0
Signature.11,0.0,0.150951508427,0.184812698548,0.0
Signature.12,0.0,0.0,0.0,0.0122159623182
Signature.13,0.430896563411,0.0,0.0,0.0548367621424
Signature.14,0.0144680210168,0.0,0.0,0.0
Signature.15,0.186820920994,0.0938327869272,0.0619603520934,0.0112756080194
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.248651636609,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0155117858591,0.0696581720432,0.190977948013,0.0256555945812
Signature.20,0.0234357692838,0.0,0.0,0.145796113843
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.134036679293,0.0263190511138,0.142108545628
Signature.23,0.0360602685188,0.0,0.0,0.0
Signature.24,0.068221059586,0.163843253889,0.0,0.117607378652
Signature.25,0.0,0.0,0.0,0.0181958863728
Signature.26,0.0,0.0,0.0,0.0
Signature.27,0.0123130085161,0.0200758907995,0.0,0.0
Signature.28,0.0,0.163114813793,0.0,0.0
Signature.29,0.067589661107,0.0216247793454,0.0126565366753,0.0
Signature.30,0.0,0.0,0.0,0.0
