,1:3:2:5:4
Signature.1,0.050048595982
Signature.2,0.105007156904
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0183616480481
Signature.7,0.0230034258542
Signature.8,0.108397212041
Signature.9,0.0
Signature.10,0.115508709383
Signature.11,0.0
Signature.12,0.0199315299258
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0272303353737
Signature.17,0.157162908148
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.361593946286
Signature.22,0.0137545320548
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
