,1:2,3:5:4
Signature.1,0.0,0.0
Signature.2,0.0235738784906,0.0126915361385
Signature.3,0.0,0.0
Signature.4,0.0,0.15125963219
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0710540814978,0.0
Signature.8,0.0,0.120336089568
Signature.9,0.0223348697896,0.0
Signature.10,0.0,0.104640139261
Signature.11,0.0905628443132,0.0582064672951
Signature.12,0.0112305371418,0.0
Signature.13,0.0,0.0
Signature.14,0.0,0.10206985901
Signature.15,0.193861982328,0.026353445838
Signature.16,0.0,0.0
Signature.17,0.0,0.0537730210306
Signature.18,0.188987702616,0.0615884052274
Signature.19,0.0,0.0
Signature.20,0.11272738081,0.0
Signature.21,0.049560487137,0.0
Signature.22,0.0687380671542,0.0117770438125
Signature.23,0.0,0.0110665539371
Signature.24,0.0133027810605,0.0
Signature.25,0.0598944236153,0.0
Signature.26,0.0,0.187549232686
Signature.27,0.0373066210254,0.0823772091918
Signature.28,0.0463930205448,0.0163113648147
Signature.29,0.0104713224763,0.0
Signature.30,0.0,0.0
