,1,3,2
Signature.1,0.0,0.0,0.020706689171
Signature.2,0.0,0.0661096740552,0.0
Signature.3,0.0245766836287,0.0,0.0898081021199
Signature.4,0.0,0.0,0.0106565265507
Signature.5,0.0139779804297,0.0,0.0
Signature.6,0.0,0.104871182014,0.0108863590752
Signature.7,0.0,0.229039855594,0.0469687207798
Signature.8,0.0,0.0,0.0109654831773
Signature.9,0.18493535321,0.0,0.0
Signature.10,0.0,0.0,0.0106368647414
Signature.11,0.0418509092343,0.0,0.0416475643243
Signature.12,0.0316923592975,0.0415945439508,0.0151082945997
Signature.13,0.0195102793155,0.0,0.0
Signature.14,0.0377776383891,0.0127175167695,0.0283155284018
Signature.15,0.123624009986,0.0,0.0112611206184
Signature.16,0.0521085410908,0.241883534659,0.0309188303599
Signature.17,0.0,0.0,0.016986204467
Signature.18,0.0,0.0217417235549,0.0527609059672
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0776388230636,0.0486767140592,0.0
Signature.23,0.0383512356547,0.0,0.0103153600455
Signature.24,0.0,0.0,0.0
Signature.25,0.0403703774328,0.0138114675025,0.0239402056736
Signature.26,0.0,0.0673758789031,0.0181036770191
Signature.27,0.0,0.0489814999425,0.440849565393
Signature.28,0.257909230145,0.103196408996,0.0925369875366
Signature.29,0.0220081375052,0.0,0.0166270099789
Signature.30,0.0336684416166,0.0,0.0
