,1:2,3,5:4:6,7
Signature.1,0.0960841617476,0.0151120592233,0.0,0.0
Signature.2,0.0259499491221,0.0160209634075,0.0,0.118009000832
Signature.3,0.0,0.137057575591,0.0498343852282,0.0
Signature.4,0.0120028408694,0.0,0.0251077030892,0.0
Signature.5,0.0,0.0,0.223794798223,0.0
Signature.6,0.0459917191618,0.0,0.0,0.0741697661426
Signature.7,0.023669110097,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.0,0.0490319439569,0.0,0.0378778265065
Signature.10,0.0,0.0,0.0,0.014384501238
Signature.11,0.0,0.0,0.0,0.0390924064256
Signature.12,0.0,0.0,0.0138677781678,0.0
Signature.13,0.016637031857,0.0,0.0,0.0305883733979
Signature.14,0.0,0.25819794219,0.0,0.0870148920024
Signature.15,0.0,0.0,0.0584675956993,0.0285927903264
Signature.16,0.0,0.0787274338531,0.0,0.0900588553173
Signature.17,0.0,0.0148574818093,0.0,0.0525707485928
Signature.18,0.079920615609,0.0321379939111,0.0,0.0393241035098
Signature.19,0.0711777542324,0.0648547871718,0.0672994842619,0.0
Signature.20,0.075924046381,0.0243217108057,0.155826292159,0.0
Signature.21,0.0,0.0,0.0,0.103357126016
Signature.22,0.0639587896537,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0508946970848,0.0
Signature.24,0.235640779234,0.0,0.0746378265245,0.151442957931
Signature.25,0.0,0.0465027441846,0.0,0.0421835372715
Signature.26,0.0327040942538,0.0,0.0,0.0
Signature.27,0.155186779562,0.108435090681,0.228151658776,0.0
Signature.28,0.0268307037059,0.0626094770656,0.0521177807867,0.0913331144897
Signature.29,0.0,0.052575610984,0.0,0.0
Signature.30,0.0383216245133,0.0395571851643,0.0,0.0
