,1:3:5:4:6,2,9:7,8
Signature.1,0.0572193751298,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.011388522111,0.0202017180943,0.0,0.0827409965608
Signature.5,0.0,0.0268367536598,0.0183939199238,0.0
Signature.6,0.0,0.0,0.0,0.0449202601991
Signature.7,0.0,0.0,0.0,0.037472537898
Signature.8,0.0401224359007,0.0817965429589,0.0,0.0
Signature.9,0.0386259076363,0.0,0.0,0.248013610635
Signature.10,0.034483376069,0.0,0.0,0.039425766002
Signature.11,0.0220730390162,0.0269751016603,0.251566248986,0.0
Signature.12,0.0,0.143752113056,0.0,0.0489632305628
Signature.13,0.0,0.0112491364668,0.0,0.0939074032755
Signature.14,0.0406997233065,0.0,0.0,0.0
Signature.15,0.0,0.0,0.0862245045509,0.0
Signature.16,0.0,0.0,0.0681829670646,0.0399475635543
Signature.17,0.276369869626,0.0173341147743,0.0923873582623,0.022488894535
Signature.18,0.0121125326164,0.121319188057,0.0,0.0
Signature.19,0.0162379478743,0.113016792721,0.195013742287,0.0
Signature.20,0.0,0.0149839311449,0.0,0.0174558442027
Signature.21,0.0,0.0,0.0383541902179,0.0
Signature.22,0.0380693408586,0.0844530428543,0.118541700365,0.0579352137731
Signature.23,0.0,0.0,0.0134502349477,0.0167286683181
Signature.24,0.0199898803601,0.0,0.0635672695085,0.0
Signature.25,0.0626044062616,0.0,0.0,0.0
Signature.26,0.0,0.0439732988978,0.0,0.0935212143023
Signature.27,0.0886775288126,0.217128498959,0.0543178638867,0.0747937854144
Signature.28,0.0,0.0223665559843,0.0,0.0
Signature.29,0.24132611442,0.0,0.0,0.0
Signature.30,0.0,0.0546132107113,0.0,0.0816850107674
