,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0190355344197
Signature.5,0.0
Signature.6,0.0136499905698
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0987232246023
Signature.12,0.0
Signature.13,0.0
Signature.14,0.179908034605
Signature.15,0.0
Signature.16,0.0773277015443
Signature.17,0.154555177536
Signature.18,0.0304082467329
Signature.19,0.0196792886752
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0721135410729
Signature.23,0.0430357439274
Signature.24,0.0
Signature.25,0.0588128869169
Signature.26,0.0
Signature.27,0.0217150438132
Signature.28,0.0517328497774
Signature.29,0.0711311646154
Signature.30,0.0881715711915
