,1:3:2:5:4:6,9:8:7
Signature.1,0.0113305102839,0.0
Signature.2,0.0198861713581,0.171047838279
Signature.3,0.0,0.0237365804313
Signature.4,0.308386460805,0.0
Signature.5,0.0502914618608,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0670931853767,0.0
Signature.9,0.0,0.0231825738435
Signature.10,0.0160826532069,0.0627018409173
Signature.11,0.0,0.0
Signature.12,0.0,0.0749259213599
Signature.13,0.0,0.0
Signature.14,0.0,0.040142921575
Signature.15,0.0,0.0849467079647
Signature.16,0.0749413336386,0.0643940905855
Signature.17,0.0,0.0481625914597
Signature.18,0.0353162761599,0.0292765016312
Signature.19,0.0,0.0422309408512
Signature.20,0.0124025463017,0.0
Signature.21,0.0129288906502,0.0307594375776
Signature.22,0.0234209512479,0.151027778561
Signature.23,0.0702783758935,0.0186191892916
Signature.24,0.0,0.0
Signature.25,0.0,0.0768621625471
Signature.26,0.0,0.0
Signature.27,0.297641183217,0.0430508867627
Signature.28,0.0,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0149320363617
