,1:2,3,5:4:7,6
Signature.1,0.0,0.16347363458,0.0,0.0
Signature.2,0.0,0.0,0.0380652212566,0.0450211280771
Signature.3,0.0178454875078,0.0,0.0,0.0
Signature.4,0.0,0.0116657732168,0.0,0.0
Signature.5,0.0,0.136477048683,0.0189183898166,0.0134994452575
Signature.6,0.0,0.314728155572,0.0,0.014924390269
Signature.7,0.0371981404779,0.0,0.0132359329796,0.215918657212
Signature.8,0.0,0.0,0.0,0.0
Signature.9,0.429354866406,0.0,0.223014586784,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.018370657767,0.0,0.0470082156737
Signature.13,0.0,0.0492379379604,0.0,0.02505746402
Signature.14,0.220182599863,0.0,0.138079631145,0.111658063919
Signature.15,0.0245846671034,0.0284888328811,0.055035448705,0.0588297743011
Signature.16,0.0557607365512,0.0,0.239118259586,0.0420610890231
Signature.17,0.0373719185404,0.0,0.0,0.0692885850715
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0137287791401,0.0
Signature.20,0.104234213451,0.0,0.0162548948498,0.0
Signature.21,0.0,0.0,0.0132078467225,0.0
Signature.22,0.0,0.0149402307504,0.0215530939883,0.0
Signature.23,0.0,0.0,0.0,0.310024917139
Signature.24,0.0,0.134319560627,0.0487361658838,0.0183457068791
Signature.25,0.0,0.0,0.0905900299306,0.0
Signature.26,0.0,0.016322081544,0.0,0.0
Signature.27,0.0146209517432,0.0,0.0,0.0169822240815
Signature.28,0.0588464183562,0.0572908405412,0.0704617192124,0.0113803390769
Signature.29,0.0,0.0,0.0,0.0
Signature.30,0.0,0.0546852458776,0.0,0.0
