,1:3:5:7:6:9,2,4,8
Signature.1,0.0,0.0,0.120939781442,0.0188199942359
Signature.2,0.0,0.0,0.0,0.0
Signature.3,0.131830866005,0.0930206266615,0.0705015553998,0.0
Signature.4,0.0333529661777,0.0,0.0,0.128446760066
Signature.5,0.0,0.0,0.113337085609,0.0
Signature.6,0.0,0.279203694722,0.0,0.0803367951263
Signature.7,0.0417485341794,0.0,0.0439369308639,0.0160402424291
Signature.8,0.0947146843773,0.0567598824187,0.0,0.0
Signature.9,0.0,0.0,0.165470167374,0.165358195415
Signature.10,0.0,0.0,0.0134925011562,0.0
Signature.11,0.0519572276683,0.0289531427239,0.0,0.0669854460334
Signature.12,0.0351931751041,0.0,0.0,0.0130542934054
Signature.13,0.0104678447369,0.038454392244,0.252383044603,0.0
Signature.14,0.0502083312481,0.0,0.0309569069804,0.0
Signature.15,0.265104204773,0.0,0.0,0.0
Signature.16,0.0315483491726,0.0839641853339,0.0,0.0
Signature.17,0.0541124325538,0.0510143357649,0.0,0.0
Signature.18,0.0,0.0468466789938,0.0,0.0138783113943
Signature.19,0.0861911069492,0.0236711766984,0.0700637687348,0.0
Signature.20,0.0766580359026,0.0,0.0604501972995,0.029794838789
Signature.21,0.0,0.0402471896696,0.0584680605368,0.0914470978294
Signature.22,0.0227977961017,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0,0.0
Signature.24,0.0,0.140581377468,0.0,0.0
Signature.25,0.0,0.0,0.0,0.0
Signature.26,0.0,0.0953381253286,0.0,0.0
Signature.27,0.0,0.0,0.0,0.0159752523034
Signature.28,0.0,0.0,0.0,0.115175812662
Signature.29,0.0,0.0219451919721,0.0,0.177704246631
Signature.30,0.0141144450501,0.0,0.0,0.0669827136797
