,11:9:10,1:3:2:5:4:7:6:8
Signature.1,0.0356083837562,0.0
Signature.2,0.0207833134198,0.129899943337
Signature.3,0.0,0.0644314648093
Signature.4,0.0692824947267,0.0942609794811
Signature.5,0.0176356392303,0.157627259366
Signature.6,0.027661811928,0.0
Signature.7,0.0183202147386,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0
Signature.10,0.183662445178,0.0125953711251
Signature.11,0.049950250578,0.0403971460609
Signature.12,0.0,0.0
Signature.13,0.0485082857398,0.0460400351129
Signature.14,0.0,0.0
Signature.15,0.0110406141745,0.170849500531
Signature.16,0.0,0.0
Signature.17,0.0327953172724,0.0
Signature.18,0.0,0.0
Signature.19,0.272188281643,0.0507894433381
Signature.20,0.039534559262,0.18580650373
Signature.21,0.0,0.0
Signature.22,0.047141768347,0.0146598698646
Signature.23,0.0186682356463,0.0
Signature.24,0.0,0.0174715740814
Signature.25,0.107218384359,0.0
Signature.26,0.0,0.0
Signature.27,0.0,0.0
Signature.28,0.0,0.0
Signature.29,0.0,0.0151709091622
Signature.30,0.0,0.0
