,11:9:10,1:3:2:5:4:7:6:8
Signature.1,0.0,0.0
Signature.2,0.0244307142717,0.0
Signature.3,0.0,0.231944203341
Signature.4,0.0,0.027640935221
Signature.5,0.0438853618357,0.0
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0998039210455
Signature.9,0.0217053043621,0.0
Signature.10,0.0,0.0
Signature.11,0.127486940424,0.0
Signature.12,0.0,0.0
Signature.13,0.0161201629865,0.0
Signature.14,0.0,0.0
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0382950680632,0.0
Signature.19,0.107354282697,0.0
Signature.20,0.0145425857316,0.198134332645
Signature.21,0.0176226212835,0.0
Signature.22,0.138008919763,0.0
Signature.23,0.0526969198699,0.0
Signature.24,0.0,0.0928745557189
Signature.25,0.0413062429456,0.0
Signature.26,0.124499323616,0.0
Signature.27,0.0,0.128545077268
Signature.28,0.23204555215,0.22105697476
Signature.29,0.0,0.0
Signature.30,0.0,0.0
