,1,3:4,2,5
Signature.1,0.0,0.0,0.0235690945418,0.0
Signature.2,0.131500730714,0.0299454188579,0.427514660172,0.0490008845104
Signature.3,0.0,0.0,0.089973965202,0.0
Signature.4,0.0,0.0,0.0,0.0
Signature.5,0.0,0.0136933826285,0.0,0.0
Signature.6,0.188014263298,0.012363493629,0.0231520298662,0.0
Signature.7,0.0273720570276,0.0,0.0,0.0
Signature.8,0.0932819336981,0.0,0.0,0.011626597325
Signature.9,0.0,0.0,0.0,0.164170454473
Signature.10,0.0,0.0207963190116,0.0,0.0167561560668
Signature.11,0.0,0.0160770326707,0.0,0.0849329587574
Signature.12,0.0,0.320398142349,0.0,0.0
Signature.13,0.0743165318771,0.0,0.0200325664385,0.0
Signature.14,0.0685541418926,0.0147326539687,0.0,0.0282889991661
Signature.15,0.249921584666,0.0,0.0,0.0
Signature.16,0.0,0.0778565802147,0.0136079397098,0.0621020645085
Signature.17,0.0,0.0,0.0,0.0272593488156
Signature.18,0.0,0.0852120321997,0.0216967979782,0.0
Signature.19,0.0,0.11551107203,0.0,0.0
Signature.20,0.0501783794647,0.0159986052081,0.0,0.0
Signature.21,0.0,0.0,0.287494354377,0.0
Signature.22,0.0,0.015211167101,0.0723353909048,0.0168594401137
Signature.23,0.0271931612627,0.0,0.0,0.0810265004083
Signature.24,0.0,0.0,0.0,0.025381413867
Signature.25,0.0,0.0,0.0,0.134441922271
Signature.26,0.0655908315524,0.0372612338538,0.0206232008099,0.0229388588022
Signature.27,0.0,0.0786888599968,0.0,0.0270975032265
Signature.28,0.0,0.0142726263503,0.0,0.0
Signature.29,0.0,0.0,0.0,0.248116897689
Signature.30,0.0240763845464,0.131981379931,0.0,0.0
