,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0495313621816
Signature.5,0.0115522082281
Signature.6,0.0
Signature.7,0.0611693201065
Signature.8,0.126937953737
Signature.9,0.0120458351645
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.049762727522
Signature.14,0.0772061913693
Signature.15,0.0
Signature.16,0.0
Signature.17,0.166928798555
Signature.18,0.0
Signature.19,0.0409581369035
Signature.20,0.0514571694208
Signature.21,0.0
Signature.22,0.0887547555273
Signature.23,0.0934453417962
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0235482636624
Signature.29,0.0
Signature.30,0.146701935826
