,1:3:2:5:4
Signature.1,0.0168441887614
Signature.2,0.0449095348669
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0105690699346
Signature.8,0.0
Signature.9,0.24343861374
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0896657922039
Signature.15,0.197280860294
Signature.16,0.0
Signature.17,0.0154786388535
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0439716369624
Signature.22,0.0
Signature.23,0.014658068857
Signature.24,0.0
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0156162560725
Signature.29,0.220655469192
Signature.30,0.0869118702624
