,11:1:2:5:7:6:9:8,10,3:4
Signature.1,0.0,0.0,0.0367017825346
Signature.2,0.0,0.0,0.0174306501443
Signature.3,0.0,0.157194394118,0.0793435670387
Signature.4,0.0700601773048,0.0,0.0
Signature.5,0.175350077803,0.0,0.0
Signature.6,0.0,0.0747271931252,0.0
Signature.7,0.0714657153833,0.230114736338,0.0643800223151
Signature.8,0.0451478642975,0.0,0.0
Signature.9,0.0,0.0,0.324135449177
Signature.10,0.0719406372786,0.0234292376916,0.0
Signature.11,0.0,0.0,0.204104059105
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.0607179941798,0.0
Signature.14,0.0384520555576,0.0,0.0
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.270640446599,0.191568228512,0.0
Signature.20,0.0183828152666,0.0848258311915,0.0
Signature.21,0.0,0.0,0.196470264078
Signature.22,0.0,0.0300260562405,0.0625920028269
Signature.23,0.188072150564,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0118140301986,0.0313972022562,0.0
Signature.26,0.0,0.0475471757617,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0136395595757,0.0,0.01484220278
Signature.29,0.025034470172,0.068451950585,0.0
Signature.30,0.0,0.0,0.0
