,1:2:5,3,4,7:6
Signature.1,0.0,0.0345571870746,0.103788173722,0.0
Signature.2,0.0,0.156647506548,0.0837337607288,0.0106436858423
Signature.3,0.0182724862556,0.0614728647378,0.0,0.0
Signature.4,0.0,0.0547773587691,0.0298205482213,0.0
Signature.5,0.0,0.276356296241,0.0,0.0
Signature.6,0.0,0.0131240001217,0.0,0.0
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.141645200258,0.0,0.0120848258823,0.0211315022026
Signature.9,0.0,0.0,0.0219536698003,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0305890015254,0.0363641661315
Signature.12,0.0,0.0,0.0288773581493,0.0249250753193
Signature.13,0.0,0.268942575852,0.0178133693017,0.0
Signature.14,0.0,0.0328739176632,0.0,0.0
Signature.15,0.335606882667,0.0129161209564,0.0766681763153,0.0
Signature.16,0.0,0.0254723266457,0.061799738475,0.0
Signature.17,0.0,0.0,0.0296375847867,0.0461014502847
Signature.18,0.0,0.0,0.137771082501,0.0
Signature.19,0.0307293820296,0.0162803286664,0.0,0.116359382358
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0630893090437,0.0,0.0314534814878,0.0
Signature.22,0.0,0.0,0.0,0.0406539052358
Signature.23,0.0134753622335,0.0,0.0,0.0
Signature.24,0.072169476949,0.0,0.020891554888,0.0661922429899
Signature.25,0.0,0.0323171639614,0.0,0.376251504435
Signature.26,0.0252107888318,0.0,0.111716240791,0.0454844117905
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.127200234007,0.014262352763,0.0211416025463,0.14017792762
Signature.29,0.0,0.0,0.180259830878,0.0
Signature.30,0.172600877725,0.0,0.0,0.0757147457896
