,1:3:5:4:6,2,7,9:8
Signature.1,0.0,0.0,0.0,0.14278692097
Signature.2,0.149706578501,0.0398112384152,0.0122943691432,0.0
Signature.3,0.0,0.175406945697,0.0,0.020363711315
Signature.4,0.0,0.0,0.0116032506338,0.0
Signature.5,0.0,0.0,0.0239904490611,0.072266460301
Signature.6,0.0,0.0,0.0,0.0
Signature.7,0.0,0.0,0.150376073145,0.0376927177268
Signature.8,0.0175753090225,0.0852463372273,0.0112107518606,0.0122572551932
Signature.9,0.0,0.151575222799,0.0166240461915,0.0
Signature.10,0.042086081691,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0220023421176,0.0
Signature.13,0.0,0.0,0.110707275814,0.0122445795391
Signature.14,0.0,0.0,0.0,0.0
Signature.15,0.0,0.12500411431,0.0,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0984959113233,0.0
Signature.18,0.0736196365898,0.0,0.0,0.011440121578
Signature.19,0.0,0.0,0.101601938214,0.179656713752
Signature.20,0.17356479405,0.0,0.0,0.0
Signature.21,0.197221098835,0.120865281671,0.0874649114568,0.210814432378
Signature.22,0.236625567761,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0120656801331,0.0915780917677
Signature.24,0.0,0.0110767819294,0.0151467135863,0.0
Signature.25,0.0,0.0,0.0159339000071,0.0
Signature.26,0.0368865000244,0.0,0.0,0.0639163703789
Signature.27,0.0403596472591,0.0664443367529,0.142103031415,0.0
Signature.28,0.015709686226,0.106103756041,0.0625939849409,0.0
Signature.29,0.0166451000403,0.118465985159,0.0845287663433,0.130897294223
Signature.30,0.0,0.0,0.0212566046126,0.0140853308783
