,1:9:3:4:8,2,5:7:6
Signature.1,0.0346317420731,0.288685320948,0.0
Signature.2,0.0351767023219,0.0,0.0750130915588
Signature.3,0.177765549111,0.0,0.0
Signature.4,0.113516756552,0.0142524123493,0.0
Signature.5,0.0,0.0,0.185034617262
Signature.6,0.0209526098477,0.0,0.0
Signature.7,0.0911164964534,0.106894333656,0.0
Signature.8,0.0425716586819,0.0491097211993,0.0739027547486
Signature.9,0.0454933102002,0.0522716415366,0.0228465758745
Signature.10,0.0,0.0,0.0437021540112
Signature.11,0.0,0.0,0.0405595427435
Signature.12,0.0,0.124282488373,0.0
Signature.13,0.0,0.0,0.0
Signature.14,0.0156462033089,0.024759294117,0.0412482709132
Signature.15,0.126424241319,0.0,0.0422168187862
Signature.16,0.0510597062953,0.0744766536023,0.0420309804196
Signature.17,0.0,0.0,0.287173019748
Signature.18,0.0,0.0,0.0283635684873
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0351742792169,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0123267753581
Signature.24,0.0,0.0,0.0520307027878
Signature.25,0.0,0.0,0.0259429016698
Signature.26,0.0834815678565,0.13971784402,0.0
Signature.27,0.0,0.0481705030507,0.0
Signature.28,0.0701819636494,0.0422055079309,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.0919814923295,0.0,0.027608225631
