,1:3:2
Signature.1,0.0496655103023
Signature.2,0.281424790425
Signature.3,0.0276487874638
Signature.4,0.0226163952673
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0109037903602
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.095260859779
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.194957657871
Signature.26,0.0144300061918
Signature.27,0.30309220234
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
