,1:3:2:5:4,7:6,9,8
Signature.1,0.0587210209721,0.0,0.0569131758959,0.0
Signature.2,0.126541574743,0.13923119929,0.0,0.0481700570454
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0138250039644,0.0,0.0,0.0
Signature.5,0.0,0.26800449001,0.0263642751332,0.0
Signature.6,0.0,0.0,0.0,0.0335007875458
Signature.7,0.0,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.170259061788
Signature.9,0.0,0.0,0.0,0.0
Signature.10,0.0107305190735,0.0,0.0,0.0230008467546
Signature.11,0.0,0.0,0.0111583210246,0.0
Signature.12,0.0925471102144,0.0,0.0,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0,0.198050253432
Signature.15,0.0258539063118,0.0106356866813,0.0,0.024820416235
Signature.16,0.0388355878488,0.0,0.0306379470317,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0,0.0806020280039,0.0,0.0273155736367
Signature.19,0.0649220453591,0.0,0.0197530372318,0.0301396945116
Signature.20,0.0320761036554,0.111265146209,0.371085956405,0.0218193220897
Signature.21,0.258338149677,0.160714640493,0.117680207796,0.0
Signature.22,0.0,0.0,0.0554925526161,0.0300356772595
Signature.23,0.0,0.0534226810812,0.0,0.0190799041198
Signature.24,0.0,0.073668384532,0.174748464746,0.145346495733
Signature.25,0.0,0.0641149501266,0.0,0.115997713011
Signature.26,0.04478797543,0.0,0.0,0.0
Signature.27,0.0157641577705,0.0,0.0,0.0801498189938
Signature.28,0.0411393336982,0.0228643242636,0.0806628084788,0.0161159761786
Signature.29,0.0211840688899,0.0,0.0555032536412,0.0
Signature.30,0.154733442393,0.015476469309,0.0,0.0161984016651
