,1:3:2
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0615897212238
Signature.5,0.360899067115
Signature.6,0.0
Signature.7,0.0
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0702085831417
Signature.16,0.0
Signature.17,0.363872456773
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0685176822
Signature.21,0.0137511005887
Signature.22,0.0251056150645
Signature.23,0.0
Signature.24,0.0
Signature.25,0.0210835614654
Signature.26,0.0
Signature.27,0.0149722124279
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
