,11:10:1:3:2:5:9:8,4,7:6
Signature.1,0.0,0.0,0.111385522263
Signature.2,0.234960894757,0.0,0.174765552308
Signature.3,0.0,0.0,0.0
Signature.4,0.0843740908549,0.0227078997501,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0167923944924,0.0526652210959,0.0164241540748
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0717576826353,0.0478880824771
Signature.9,0.0,0.0,0.0
Signature.10,0.0170304730616,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.187234195038,0.0,0.118799504465
Signature.13,0.0,0.0514116832703,0.0
Signature.14,0.0135490205781,0.177434213353,0.0
Signature.15,0.0,0.0190386212816,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.06637249541,0.0619801558514,0.0
Signature.18,0.0,0.287640030639,0.0880787928675
Signature.19,0.0296227947476,0.0,0.1057740785
Signature.20,0.0199268249897,0.0,0.0110865932632
Signature.21,0.0619175654747,0.0,0.0225026850109
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.101967926246,0.0385987347886
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.10386247178,0.0569550612917
Signature.26,0.0,0.0,0.017562138412
Signature.27,0.01149825522,0.0178757147753,0.0546216898865
Signature.28,0.104845745634,0.0160647431255,0.114257941989
Signature.29,0.0484240859075,0.0155936361964,0.0
Signature.30,0.103451163835,0.0,0.0212994684018
