,1:3:4,2,5
Signature.1,0.161836719891,0.0,0.0192896612324
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0383894328964,0.0,0.0
Signature.5,0.0,0.0,0.150662152064
Signature.6,0.0,0.0,0.0
Signature.7,0.0115424459889,0.0,0.0
Signature.8,0.0517293710393,0.0,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0682924792442,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.0,0.1113190447,0.0427623494595
Signature.13,0.162022819722,0.0977121499799,0.0142646052355
Signature.14,0.0,0.0,0.0
Signature.15,0.0,0.107548273776,0.0
Signature.16,0.0,0.135064491774,0.0198936037812
Signature.17,0.0916533764753,0.0,0.0646460775475
Signature.18,0.0345070488436,0.0,0.0
Signature.19,0.29035374654,0.0,0.0
Signature.20,0.0,0.0460695987321,0.0
Signature.21,0.0,0.055839743629,0.0
Signature.22,0.0,0.0,0.0227485003392
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.402977206361
Signature.25,0.0932363000752,0.025925782817,0.043356467432
Signature.26,0.0,0.0,0.105122684251
Signature.27,0.0,0.0,0.0988302370562
Signature.28,0.0,0.200086455618,0.0
Signature.29,0.0486414248094,0.15214197973,0.0154464552416
Signature.30,0.0160873137187,0.0,0.0
