,1:3:2:5:4,7:6
Signature.1,0.0116270014383,0.0
Signature.2,0.0,0.0
Signature.3,0.0,0.0408594750315
Signature.4,0.0246825372924,0.0
Signature.5,0.0,0.0
Signature.6,0.0,0.0
Signature.7,0.0244638718334,0.0
Signature.8,0.0780128709453,0.0509000224699
Signature.9,0.314515413353,0.0762817458034
Signature.10,0.0,0.0
Signature.11,0.0,0.134543129744
Signature.12,0.0,0.132889225996
Signature.13,0.0418209337374,0.0
Signature.14,0.0,0.0743301082873
Signature.15,0.0,0.0
Signature.16,0.0,0.0
Signature.17,0.131463478276,0.0
Signature.18,0.0752768686367,0.0111106822325
Signature.19,0.0,0.400981812158
Signature.20,0.0983139187808,0.0
Signature.21,0.011428548588,0.0
Signature.22,0.0426515204109,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0
Signature.25,0.0133345229579,0.0
Signature.26,0.0749054912331,0.0
Signature.27,0.0,0.0181102239696
Signature.28,0.0,0.0359111251928
Signature.29,0.057503022517,0.0240824491152
Signature.30,0.0,0.0
