,1:3:5:4:7,2,6
Signature.1,0.0,0.0,0.0261083260098
Signature.2,0.0,0.0198199004106,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0,0.0276465219597
Signature.5,0.0,0.0187756175046,0.0
Signature.6,0.0,0.0126175863482,0.0
Signature.7,0.0,0.0404793704544,0.0479693023559
Signature.8,0.0194354644373,0.0,0.0994668344751
Signature.9,0.0720784175005,0.0132963900524,0.0
Signature.10,0.0,0.0473133051011,0.10516959243
Signature.11,0.0579314358587,0.0,0.0
Signature.12,0.0139982485045,0.059838200318,0.205715600931
Signature.13,0.0470238586281,0.155438179352,0.0112531322119
Signature.14,0.0,0.0,0.0
Signature.15,0.019708220495,0.0,0.0
Signature.16,0.0,0.0,0.0
Signature.17,0.0887447988683,0.265613272006,0.0
Signature.18,0.0365942939177,0.123533247447,0.073410699656
Signature.19,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0205276868038,0.0,0.0
Signature.22,0.0,0.017637222671,0.0
Signature.23,0.312227635505,0.088280251672,0.151717730222
Signature.24,0.0128427412377,0.121837261592,0.0438166832086
Signature.25,0.0166818760245,0.0155201950709,0.0
Signature.26,0.0158502602242,0.0,0.0113636200527
Signature.27,0.266355061994,0.0,0.0121633008887
Signature.28,0.0,0.0,0.0
Signature.29,0.0,0.0,0.184198655598
Signature.30,0.0,0.0,0.0
