,1:3:2:5:4
Signature.1,0.0
Signature.2,0.0566942758676
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0
Signature.8,0.102110241086
Signature.9,0.448727941925
Signature.10,0.0215798161536
Signature.11,0.0
Signature.12,0.12794458087
Signature.13,0.11524166294
Signature.14,0.0433629367118
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0
Signature.25,0.043168967595
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0411695768507
Signature.29,0.0
Signature.30,0.0
