,1:3:2:5:4
Signature.1,0.0
Signature.2,0.0
Signature.3,0.0
Signature.4,0.0132531535507
Signature.5,0.0
Signature.6,0.110352747351
Signature.7,0.0
Signature.8,0.017320032287
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0367583992852
Signature.12,0.0
Signature.13,0.0240878904741
Signature.14,0.0297301067872
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.311705377334
Signature.19,0.0450260910188
Signature.20,0.0
Signature.21,0.0139798657402
Signature.22,0.0
Signature.23,0.0686784077577
Signature.24,0.0109712841262
Signature.25,0.126848894273
Signature.26,0.0
Signature.27,0.158895555062
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0323921949524
