,1,3:2:5:4,7,6
Signature.1,0.0393356063409,0.0,0.0,0.0
Signature.2,0.0,0.0490732338126,0.0,0.0
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0828311299162,0.0403081458286,0.015574754155,0.0
Signature.5,0.0,0.0142537718451,0.0,0.0
Signature.6,0.0,0.0480857711724,0.0,0.0548312503529
Signature.7,0.0,0.0157512092705,0.0,0.0
Signature.8,0.0,0.0207480571488,0.015366767123,0.0
Signature.9,0.258518763057,0.153243211741,0.104964525865,0.0
Signature.10,0.0,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0,0.0
Signature.12,0.0,0.0727464606936,0.0118030157734,0.133891410657
Signature.13,0.0,0.0,0.0,0.0137295540843
Signature.14,0.0773129669435,0.0314601565789,0.0,0.237144513609
Signature.15,0.0902253846908,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.0164079250864,0.0,0.0,0.0
Signature.18,0.011006822698,0.0380856777019,0.0449370939758,0.0
Signature.19,0.0353373565977,0.0,0.0,0.0961260772997
Signature.20,0.0206552758997,0.0165059459011,0.0,0.037800208958
Signature.21,0.0,0.0115187029014,0.33103725988,0.0
Signature.22,0.0,0.0,0.0,0.0255449406734
Signature.23,0.0113637273352,0.0129577681945,0.0200959020334,0.0203244249495
Signature.24,0.0732058367869,0.0,0.0,0.0137453302897
Signature.25,0.12326769521,0.0,0.231923768281,0.0
Signature.26,0.0526255029807,0.305299889234,0.015714836927,0.317586124054
Signature.27,0.107906006457,0.0,0.0,0.0
Signature.28,0.0,0.0343679214307,0.0,0.0492761650721
Signature.29,0.0,0.055934942207,0.157025485745,0.0
Signature.30,0.0,0.0796591343385,0.0515565902405,0.0
