,1,3:2:5:4
Signature.1,0.0,0.0169875335215
Signature.2,0.0,0.0477947928698
Signature.3,0.149061562264,0.0
Signature.4,0.103832290097,0.0
Signature.5,0.0,0.234753650124
Signature.6,0.0903576087719,0.0
Signature.7,0.0424329658573,0.0
Signature.8,0.0142025949605,0.0
Signature.9,0.0,0.0
Signature.10,0.0378713969388,0.120718520679
Signature.11,0.0,0.0
Signature.12,0.0196960193442,0.0465783969984
Signature.13,0.0396453667369,0.0
Signature.14,0.0,0.0
Signature.15,0.0149566766707,0.0
Signature.16,0.0,0.0
Signature.17,0.0803987048269,0.158857709117
Signature.18,0.0273573449565,0.0
Signature.19,0.0,0.0
Signature.20,0.0,0.0
Signature.21,0.0,0.0
Signature.22,0.100294599297,0.103090236314
Signature.23,0.0270504236798,0.0
Signature.24,0.0,0.0
Signature.25,0.155699003122,0.0
Signature.26,0.0429964013685,0.114830959862
Signature.27,0.0,0.121565281716
Signature.28,0.0432522811401,0.0
Signature.29,0.0108947599672,0.0348229187975
Signature.30,0.0,0.0
