,1:3:2:5:4,7:6,9:8
Signature.1,0.154012876541,0.0,0.0338015783613
Signature.2,0.0192572510903,0.106940779611,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0304037774167,0.0,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0
Signature.7,0.0,0.0,0.0
Signature.8,0.0,0.0884024653479,0.111477321873
Signature.9,0.170180136548,0.0248095509168,0.0
Signature.10,0.0,0.0384470244324,0.0
Signature.11,0.0660404916596,0.0,0.0
Signature.12,0.0421635461952,0.0304998177584,0.0252086847453
Signature.13,0.0,0.0,0.0339725340725
Signature.14,0.0121276085423,0.0,0.0
Signature.15,0.0,0.206576675414,0.0619049696095
Signature.16,0.0,0.0550019566697,0.0200422527326
Signature.17,0.039709802751,0.0,0.328087221295
Signature.18,0.0,0.0148363844578,0.0
Signature.19,0.0,0.203841532183,0.0
Signature.20,0.0,0.0,0.0
Signature.21,0.0171902747728,0.0,0.0970324940698
Signature.22,0.0907639201455,0.0,0.0
Signature.23,0.0934963571273,0.142976105774,0.0
Signature.24,0.0112985220326,0.0,0.0116141084902
Signature.25,0.025720218381,0.0876677074349,0.0
Signature.26,0.0585356213879,0.0,0.2085370587
Signature.27,0.169099595409,0.0,0.0173724632826
Signature.28,0.0,0.0,0.0509493127679
Signature.29,0.0,0.0,0.0
Signature.30,0.0,0.0,0.0
