,1:9:2:5,3,4,8:7:6
Signature.1,0.0755623852418,0.0,0.124674050898,0.0
Signature.2,0.0389619739765,0.0156981520979,0.0,0.0
Signature.3,0.0,0.0164774037728,0.013086235103,0.0315533821165
Signature.4,0.0,0.207229434637,0.0,0.0195154016306
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.0,0.0,0.0,0.0153245057855
Signature.7,0.099693711251,0.0873383120755,0.100625629668,0.0
Signature.8,0.0,0.0,0.0,0.0971741051855
Signature.9,0.0,0.0140323017835,0.0,0.0653620367618
Signature.10,0.0,0.0,0.073396876842,0.0111605396024
Signature.11,0.015668531434,0.0303205075279,0.143215194765,0.206995551809
Signature.12,0.0,0.0,0.125157850138,0.0389395318471
Signature.13,0.0317407925463,0.0,0.0118455035652,0.0600504419723
Signature.14,0.0,0.0,0.0195964712526,0.0715551750202
Signature.15,0.0728095766063,0.0156404364718,0.0,0.0
Signature.16,0.0,0.0,0.0249212021491,0.0
Signature.17,0.028808549371,0.0,0.0104150204074,0.0162782766075
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0,0.0,0.0115516308034,0.0537877986618
Signature.20,0.022038079486,0.341996439073,0.0155524709897,0.0
Signature.21,0.0,0.0,0.0,0.0506681902343
Signature.22,0.0306749003489,0.143968096101,0.0,0.0
Signature.23,0.0166552936422,0.0,0.0,0.0
Signature.24,0.298224934281,0.0,0.0,0.152651686675
Signature.25,0.0,0.0418433506902,0.137026731816,0.0
Signature.26,0.032320380032,0.0176056602981,0.0,0.0
Signature.27,0.0105676556467,0.0,0.12383353872,0.0141933042547
Signature.28,0.226273236137,0.0393185825895,0.0,0.0
Signature.29,0.0,0.0,0.0651015928811,0.0947900718353
Signature.30,0.0,0.0285313228818,0.0,0.0
