,1,3:2:4,5
Signature.1,0.0,0.0233321897244,0.0
Signature.2,0.0,0.0227375565893,0.0861958358388
Signature.3,0.17738660667,0.0,0.0421379093448
Signature.4,0.0,0.188661984495,0.0704509829397
Signature.5,0.0167841801784,0.0,0.0
Signature.6,0.0,0.0162237753031,0.0
Signature.7,0.0,0.0,0.0329443840625
Signature.8,0.0,0.0278752106715,0.0234454911184
Signature.9,0.0,0.0,0.0
Signature.10,0.0505254485405,0.0,0.0228584084894
Signature.11,0.0,0.0,0.109167844107
Signature.12,0.0,0.0,0.0
Signature.13,0.0,0.174341107605,0.0
Signature.14,0.111025099815,0.0176132535905,0.152907819276
Signature.15,0.0,0.0,0.0
Signature.16,0.0,0.027116413098,0.0277839995685
Signature.17,0.0,0.104060064693,0.0
Signature.18,0.0258130887452,0.0,0.113586864433
Signature.19,0.0,0.0794768744585,0.0
Signature.20,0.0,0.0,0.0352129471913
Signature.21,0.163852341604,0.0250462076868,0.0119527633482
Signature.22,0.0,0.0318077592085,0.142460643416
Signature.23,0.191184526802,0.0,0.0222153943279
Signature.24,0.0164884258452,0.0,0.0
Signature.25,0.0866680178441,0.0,0.0508471551009
Signature.26,0.0,0.0,0.0240826314328
Signature.27,0.0786396253071,0.0,0.0207562552237
Signature.28,0.0444979169961,0.0586312617135,0.0
Signature.29,0.0224268902524,0.0,0.0
Signature.30,0.0147078314005,0.203076341164,0.0109926707817
