,1:3:2:5:4:7:6
Signature.1,0.0
Signature.2,0.0572722669853
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.0405377380851
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.118669324663
Signature.12,0.0
Signature.13,0.0213862864666
Signature.14,0.51961599746
Signature.15,0.0
Signature.16,0.0755411277726
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0
Signature.22,0.0173554581961
Signature.23,0.0591717180113
Signature.24,0.0422970629341
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.048153019426
Signature.29,0.0
Signature.30,0.0
