,1:7:6,3:4,2,5
Signature.1,0.0,0.0209387478971,0.0,0.0
Signature.2,0.0220615878845,0.0985914413779,0.0163358261835,0.0
Signature.3,0.276398845444,0.0273193252847,0.187833778077,0.0228673074408
Signature.4,0.0,0.0187182637309,0.0,0.0111341078882
Signature.5,0.0158220689139,0.147827721793,0.0,0.0
Signature.6,0.0102964070663,0.0,0.0280769673065,0.0503929730249
Signature.7,0.0682463751658,0.0,0.0,0.0
Signature.8,0.0,0.0,0.0,0.0271117777625
Signature.9,0.0424588272272,0.0,0.102650720328,0.0
Signature.10,0.0606682093336,0.0,0.0,0.0
Signature.11,0.0686792095941,0.0,0.010913620305,0.0186268531806
Signature.12,0.129219275298,0.0214373276851,0.0263741546452,0.0
Signature.13,0.0,0.0,0.299169000714,0.0
Signature.14,0.0,0.0,0.0564792371418,0.0
Signature.15,0.0,0.0438881306682,0.0,0.0
Signature.16,0.0548668763513,0.0,0.0,0.0
Signature.17,0.108136205568,0.0784852185566,0.0174596088473,0.0
Signature.18,0.0,0.0,0.0,0.0
Signature.19,0.0547147482514,0.0,0.0,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.0,0.0664648174077,0.0142389963463,0.0762158222714
Signature.23,0.0,0.108928653478,0.0185337579714,0.0
Signature.24,0.050377738806,0.130035838677,0.0,0.308603197922
Signature.25,0.0,0.0,0.0420352253466,0.154607815847
Signature.26,0.0,0.0348071753766,0.0,0.0
Signature.27,0.0,0.0,0.0170669561762,0.0705636541519
Signature.28,0.0,0.0147189381885,0.0110681344561,0.0
Signature.29,0.0,0.187838399878,0.0,0.169882874297
Signature.30,0.0380536250963,0.0,0.151764016155,0.0899936162144
