,1:3:2
Signature.1,0.0299577545996
Signature.2,0.0
Signature.3,0.0192243874253
Signature.4,0.0
Signature.5,0.0872227714465
Signature.6,0.0755949290006
Signature.7,0.0112170042592
Signature.8,0.0197928383067
Signature.9,0.0
Signature.10,0.0
Signature.11,0.112260577497
Signature.12,0.0475427321168
Signature.13,0.0634010078473
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0
Signature.20,0.0
Signature.21,0.0115048064324
Signature.22,0.0134093720689
Signature.23,0.174434600428
Signature.24,0.0
Signature.25,0.0242502748144
Signature.26,0.0
Signature.27,0.0162902401769
Signature.28,0.208501379398
Signature.29,0.0382183646589
Signature.30,0.0471769595238
