,1:3:2
Signature.1,0.0
Signature.2,0.116883021858
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0
Signature.7,0.332988542454
Signature.8,0.053651273167
Signature.9,0.0
Signature.10,0.0624578216668
Signature.11,0.0373073156498
Signature.12,0.0
Signature.13,0.0161025341335
Signature.14,0.0
Signature.15,0.0
Signature.16,0.132559715926
Signature.17,0.0138999538404
Signature.18,0.068079747369
Signature.19,0.0215154626112
Signature.20,0.080066144826
Signature.21,0.0
Signature.22,0.0
Signature.23,0.0284399387092
Signature.24,0.0
Signature.25,0.0360485277887
Signature.26,0.0
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0
