,1:3:2,5,4
Signature.1,0.0,0.0,0.0307280143549
Signature.2,0.0,0.0114841166674,0.0
Signature.3,0.0,0.0323803519287,0.0116902756666
Signature.4,0.0,0.217127711615,0.0958901675108
Signature.5,0.0,0.197109555689,0.0
Signature.6,0.0,0.0422548419282,0.0
Signature.7,0.0,0.0693017890076,0.0552107933502
Signature.8,0.0,0.0248992369187,0.0
Signature.9,0.0,0.0,0.0
Signature.10,0.0,0.0,0.0
Signature.11,0.0,0.0,0.0
Signature.12,0.135221138515,0.0378043190528,0.0
Signature.13,0.0335435332531,0.0205238789468,0.303432054311
Signature.14,0.0,0.0,0.0114479053467
Signature.15,0.0131740221064,0.0,0.0750429581411
Signature.16,0.151109346346,0.0,0.0
Signature.17,0.0,0.0697009252587,0.0
Signature.18,0.0,0.0,0.163378266439
Signature.19,0.0310001452417,0.0,0.0
Signature.20,0.0240309035165,0.102825743947,0.0440534755685
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0727661304634,0.0295735703222
Signature.23,0.0448788183043,0.0,0.0
Signature.24,0.256813514341,0.0163843573595,0.0173939606666
Signature.25,0.204092362323,0.0,0.0
Signature.26,0.0436944143768,0.0,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0320337676093,0.085437041217,0.162158558323
Signature.29,0.0,0.0,0.0
Signature.30,0.0304080340662,0.0,0.0
