,11:10:1:3:2:5:4:6:9:8,7
Signature.1,0.245501142606,0.0187887177179
Signature.2,0.225049276554,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0257074305565,0.0
Signature.6,0.0253756055129,0.0
Signature.7,0.0499680972872,0.0
Signature.8,0.209157732842,0.0
Signature.9,0.0,0.0
Signature.10,0.0,0.264120017641
Signature.11,0.0,0.118537207632
Signature.12,0.0,0.0
Signature.13,0.0,0.0
Signature.14,0.0106585248381,0.0
Signature.15,0.0270863227928,0.0393103750232
Signature.16,0.0,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0461359100218
Signature.19,0.0421826502395,0.0520397475441
Signature.20,0.0,0.0
Signature.21,0.0,0.03277461547
Signature.22,0.0,0.0
Signature.23,0.0,0.157903717596
Signature.24,0.0624969528396,0.0
Signature.25,0.0,0.0
Signature.26,0.0,0.0
Signature.27,0.0462894744951,0.205721311912
Signature.28,0.0,0.064668379442
Signature.29,0.0305267894361,0.0
Signature.30,0.0,0.0
