,1:7:6,3,2:5:4
Signature.1,0.0,0.0412531845309,0.0
Signature.2,0.0,0.0,0.330477849626
Signature.3,0.0,0.0,0.0
Signature.4,0.361679674347,0.0,0.1112131546
Signature.5,0.0,0.0706294922285,0.0
Signature.6,0.0,0.0148057595782,0.0
Signature.7,0.112982711931,0.0260603757609,0.0
Signature.8,0.0,0.0,0.0875275063514
Signature.9,0.0,0.0,0.0497777787904
Signature.10,0.0409910804105,0.138669738525,0.0139299943886
Signature.11,0.0977458417296,0.0482078258998,0.0
Signature.12,0.0237794422607,0.0,0.0
Signature.13,0.0230595270234,0.0,0.0
Signature.14,0.189502614697,0.0,0.0
Signature.15,0.0,0.0181848075308,0.0537934468279
Signature.16,0.0,0.0488295213182,0.0
Signature.17,0.0,0.0986246422582,0.0
Signature.18,0.0,0.0,0.0406667779356
Signature.19,0.0,0.0,0.0
Signature.20,0.0143654252133,0.0,0.0
Signature.21,0.0,0.144912968326,0.0
Signature.22,0.0103113363588,0.0,0.0
Signature.23,0.0683219911005,0.0,0.0459516308245
Signature.24,0.0221966348313,0.0,0.0622512500567
Signature.25,0.01429895048,0.283175628602,0.0
Signature.26,0.0,0.0,0.0754144827002
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0112409369757,0.0821297986086
Signature.29,0.0,0.0,0.04686632929
Signature.30,0.0207647696175,0.0554051184651,0.0
