,11:9:10,1:3:2:5:7:6,4,8
Signature.1,0.0618780506949,0.0,0.0,0.0
Signature.2,0.0916262447939,0.100600406184,0.0371885013273,0.0221720169032
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0366848432435,0.0,0.038204883115,0.0233065900238
Signature.5,0.0209969731553,0.0,0.0585744679822,0.0343227064565
Signature.6,0.0,0.0,0.0,0.0465759978338
Signature.7,0.0,0.0,0.0110790140689,0.116355067968
Signature.8,0.0,0.0217829723656,0.0,0.0
Signature.9,0.453012446685,0.0,0.0,0.0911549070993
Signature.10,0.038435360308,0.0,0.0,0.0276748536977
Signature.11,0.103147707282,0.0,0.0,0.0
Signature.12,0.0,0.0,0.0,0.0119813352095
Signature.13,0.030066336646,0.0,0.0,0.0133940436405
Signature.14,0.0,0.164597960915,0.199649487028,0.0
Signature.15,0.0,0.0,0.0,0.0
Signature.16,0.0,0.0,0.0,0.0
Signature.17,0.018999024722,0.0,0.0,0.0
Signature.18,0.0468570187589,0.0,0.0,0.188085564111
Signature.19,0.0,0.0,0.0,0.146861558885
Signature.20,0.0,0.0,0.0,0.0412392138345
Signature.21,0.0,0.0388512376986,0.0,0.0
Signature.22,0.0199119536819,0.106261282066,0.0,0.201683178833
Signature.23,0.0,0.0,0.0232843001361,0.0
Signature.24,0.011527072001,0.0996516954588,0.199666429209,0.0
Signature.25,0.0668569680275,0.0,0.13861696435,0.0
Signature.26,0.0,0.0163880647117,0.0,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.0,0.245038058917,0.293735952784,0.022905767287
Signature.29,0.0,0.11931878213,0.0,0.0122871982176
Signature.30,0.0,0.087509539554,0.0,0.0
