,1:5:4:7,3,2,6
Signature.1,0.0,0.0,0.0,0.0
Signature.2,0.0,0.0,0.0,0.0200613715516
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0839461827366,0.0,0.0,0.0
Signature.5,0.0195240269407,0.0,0.0,0.0112886605033
Signature.6,0.0,0.123840073394,0.0,0.0
Signature.7,0.17705922841,0.0,0.185483958825,0.0
Signature.8,0.0,0.0,0.0617370468803,0.0374031474166
Signature.9,0.0,0.0443242079052,0.098486418931,0.0
Signature.10,0.0,0.0155123776563,0.0149002887972,0.0553590414505
Signature.11,0.0130228371181,0.0,0.0,0.0724409585292
Signature.12,0.0228643492495,0.0,0.0220435365368,0.266006065504
Signature.13,0.0379680165285,0.0,0.0,0.131427349889
Signature.14,0.0537819871272,0.0,0.0372370346482,0.0
Signature.15,0.111739363189,0.17211786603,0.0219661694255,0.0107516541871
Signature.16,0.0,0.0,0.0,0.0133699495658
Signature.17,0.0,0.0,0.0,0.023777541906
Signature.18,0.0547714869479,0.0695993536288,0.0,0.0
Signature.19,0.043597675198,0.0161205741433,0.259908718625,0.023884404919
Signature.20,0.045640594617,0.0,0.0,0.0
Signature.21,0.285321877325,0.0,0.0,0.0
Signature.22,0.0163920311165,0.0,0.0248348170366,0.0
Signature.23,0.0,0.257425093172,0.0,0.0
Signature.24,0.0,0.0116024740993,0.115217785101,0.0
Signature.25,0.0,0.0730706655416,0.158184225194,0.300821906731
Signature.26,0.034370343496,0.0,0.0,0.0334079478477
Signature.27,0.0,0.0337408300432,0.0,0.0
Signature.28,0.0,0.0255990994132,0.0,0.0
Signature.29,0.0,0.0245179902507,0.0,0.0
Signature.30,0.0,0.132529394723,0.0,0.0
