,1,3:2:5,4
Signature.1,0.0,0.0254729875447,0.562186068391
Signature.2,0.0,0.0514466332429,0.0143667455359
Signature.3,0.0,0.105962455286,0.0
Signature.4,0.0974439755536,0.0161766519019,0.0
Signature.5,0.0,0.0,0.0
Signature.6,0.140315143077,0.0851246606809,0.0
Signature.7,0.0,0.0,0.0967947491627
Signature.8,0.16979945444,0.0,0.0529006562508
Signature.9,0.200282498127,0.0,0.0
Signature.10,0.0,0.101254526088,0.0252440991717
Signature.11,0.0,0.214606365207,0.0
Signature.12,0.0,0.0376458413061,0.0
Signature.13,0.0,0.0,0.0
Signature.14,0.0301114030835,0.0,0.0
Signature.15,0.0193739072836,0.0285882686308,0.0
Signature.16,0.0,0.0,0.107031111869
Signature.17,0.0,0.0,0.0
Signature.18,0.0576603424813,0.175409324913,0.0141474753295
Signature.19,0.0,0.0107469715892,0.0249337157885
Signature.20,0.0,0.0,0.0111147828464
Signature.21,0.0,0.0,0.0416895350703
Signature.22,0.0,0.0,0.0
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0457208636701,0.0495910605836
Signature.26,0.0,0.0700537619309,0.0
Signature.27,0.0,0.0,0.0
Signature.28,0.0,0.0317906880082,0.0
Signature.29,0.0,0.0,0.0
Signature.30,0.285013275954,0.0,0.0
