,1:9:3:2:4,5,7,8:6
Signature.1,0.0496607090285,0.0599771332706,0.0,0.0
Signature.2,0.0105024666777,0.0,0.0,0.0114812046149
Signature.3,0.0328518755861,0.0370726935101,0.0,0.0
Signature.4,0.0464361378132,0.0,0.390615827404,0.0
Signature.5,0.0340144669649,0.0,0.0512778427452,0.0
Signature.6,0.0,0.351712761289,0.0,0.0
Signature.7,0.0,0.0,0.0609708880439,0.0
Signature.8,0.0117234350054,0.0,0.0,0.0
Signature.9,0.0570684985151,0.0,0.0,0.0651758701378
Signature.10,0.0337821964007,0.0146070792016,0.0,0.0
Signature.11,0.116146337084,0.0,0.0,0.0
Signature.12,0.0476664872211,0.020305973188,0.0142304027561,0.0
Signature.13,0.0,0.0,0.0,0.0
Signature.14,0.0158411267321,0.0516099488248,0.0,0.0
Signature.15,0.0,0.204277114287,0.0,0.0
Signature.16,0.0323663672668,0.0,0.0,0.0450762932464
Signature.17,0.0,0.0339063671403,0.0,0.0
Signature.18,0.162179442234,0.0,0.0,0.168996355179
Signature.19,0.1249877945,0.0,0.0,0.387363740101
Signature.20,0.0,0.0,0.0251688116004,0.0
Signature.21,0.0,0.0630065583018,0.0430390106106,0.0186754910096
Signature.22,0.0,0.0,0.187074841173,0.0147867192983
Signature.23,0.0501630990311,0.0820067033065,0.0,0.155771464227
Signature.24,0.0,0.0,0.0,0.116303600563
Signature.25,0.135128276164,0.0197589157649,0.0109123743948,0.0
Signature.26,0.0,0.0,0.0969957332518,0.0
Signature.27,0.0,0.0,0.0,0.0
Signature.28,0.039481283776,0.0,0.0,0.0
Signature.29,0.0,0.0617587519162,0.0,0.0163692616231
Signature.30,0.0,0.0,0.11971426802,0.0
