,1,3:2,5:4,7:6
Signature.1,0.0354644425491,0.0451757593959,0.0,0.0464828468222
Signature.2,0.0139405065142,0.0,0.068571355754,0.0
Signature.3,0.178890749021,0.0826706495537,0.0,0.0845914277601
Signature.4,0.0,0.0329059213442,0.0,0.128173473119
Signature.5,0.0,0.0668770164388,0.0,0.0
Signature.6,0.0,0.0235289234502,0.0608502167599,0.0
Signature.7,0.0906450686897,0.0,0.010686959583,0.0305187061238
Signature.8,0.0,0.0,0.0,0.0123425279226
Signature.9,0.238529263512,0.0,0.0,0.0161905532832
Signature.10,0.0,0.15447597255,0.0463945634832,0.106526142745
Signature.11,0.0,0.493054130869,0.0,0.0
Signature.12,0.090534135703,0.0,0.0964870250377,0.0239986367157
Signature.13,0.0,0.0123377747499,0.0,0.0
Signature.14,0.0,0.0,0.0,0.0258614318458
Signature.15,0.0,0.0143304923026,0.0245986900381,0.111405758775
Signature.16,0.0,0.0,0.0130729046889,0.0
Signature.17,0.0,0.0,0.0,0.0
Signature.18,0.0103207658588,0.0,0.0301286107572,0.0389571740794
Signature.19,0.0,0.0,0.322131880665,0.0
Signature.20,0.0121683538156,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0608675132453,0.0
Signature.22,0.0,0.0108401896219,0.0,0.0
Signature.23,0.0,0.0,0.170141437112,0.185448034836
Signature.24,0.0262991417826,0.0214597874116,0.0,0.0498112919863
Signature.25,0.0139113477076,0.042343382312,0.0,0.0191444060576
Signature.26,0.203311762141,0.0,0.0758453985296,0.0176538715435
Signature.27,0.0391865661796,0.0,0.0,0.0
Signature.28,0.0,0.0,0.0202234443458,0.0195615400267
Signature.29,0.0467978965262,0.0,0.0,0.0833321763582
Signature.30,0.0,0.0,0.0,0.0
