,1:3:2,5,4:7:6
Signature.1,0.0364189415597,0.0896374651959,0.120859188469
Signature.2,0.0,0.162153793153,0.0433268119331
Signature.3,0.0,0.0,0.105310552991
Signature.4,0.0,0.0,0.0272401278564
Signature.5,0.0,0.0,0.0103835210302
Signature.6,0.102167663134,0.0,0.0
Signature.7,0.0,0.0175699712293,0.0268715579311
Signature.8,0.0,0.141164544331,0.0
Signature.9,0.0,0.21508473836,0.0
Signature.10,0.0,0.0,0.0953478769202
Signature.11,0.0136193215548,0.0,0.0
Signature.12,0.135295381774,0.0360848621269,0.0
Signature.13,0.0626026948467,0.0,0.0243047719051
Signature.14,0.171429900222,0.0,0.102067481719
Signature.15,0.0122541743038,0.037192317743,0.0204387774573
Signature.16,0.0168156076548,0.0543568181487,0.055600799694
Signature.17,0.0,0.0,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.124528949137,0.0,0.0293471711298
Signature.20,0.0,0.0438025973123,0.0
Signature.21,0.0704533579254,0.0,0.0156059854075
Signature.22,0.0,0.0559944471858,0.0
Signature.23,0.0114023631096,0.034753786639,0.0
Signature.24,0.0,0.0,0.0842335893553
Signature.25,0.0462684111514,0.0,0.0428827976947
Signature.26,0.0,0.0144574023805,0.0899621431272
Signature.27,0.0,0.0,0.106216845379
Signature.28,0.099877790515,0.0213840175427,0.0
Signature.29,0.0968654431114,0.049160882415,0.0
Signature.30,0.0,0.0272023562363,0.0
