,1:3:2:7,5,4,6
Signature.1,0.0,0.0140784072771,0.0218333628574,0.0
Signature.2,0.0182853018594,0.0,0.0,0.104610693432
Signature.3,0.0,0.0,0.0,0.0
Signature.4,0.0,0.0167364865232,0.293095190025,0.216322876653
Signature.5,0.0,0.0,0.0,0.0
Signature.6,0.14578834727,0.0106888025138,0.027510713356,0.0
Signature.7,0.0,0.043478801685,0.0110125642802,0.0
Signature.8,0.0,0.0,0.119746035954,0.0
Signature.9,0.0500990104082,0.0,0.0361735362473,0.0
Signature.10,0.0166533573875,0.109652584387,0.0430803132068,0.0259772355083
Signature.11,0.0,0.07171817303,0.0,0.0780398549273
Signature.12,0.0120092177551,0.0,0.0,0.0
Signature.13,0.0295781963631,0.0,0.0,0.0
Signature.14,0.0,0.0,0.0140706343301,0.0528043101138
Signature.15,0.0597734291324,0.0150780983572,0.0,0.150003083295
Signature.16,0.011033504138,0.0,0.0,0.0
Signature.17,0.0,0.262462180888,0.0,0.0
Signature.18,0.0,0.0,0.235287217483,0.0
Signature.19,0.0598409396375,0.132486174084,0.0,0.0
Signature.20,0.0,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0,0.0
Signature.22,0.138944097496,0.0272928788472,0.0272512089166,0.20500017499
Signature.23,0.156264993341,0.126883372905,0.0,0.0413307220578
Signature.24,0.121101870617,0.0,0.0298631877995,0.0739066912089
Signature.25,0.0569351359725,0.0,0.0,0.0
Signature.26,0.0447972802662,0.0,0.0974203032144,0.0138794838784
Signature.27,0.0201191565221,0.0,0.0,0.0
Signature.28,0.0345751049683,0.0,0.0,0.0
Signature.29,0.0,0.141421339946,0.0436557323295,0.0
Signature.30,0.0242010568669,0.0280226995565,0.0,0.0381248739348
