,1:3:2:4:7:6:9,5,8
Signature.1,0.253802340679,0.0,0.0
Signature.2,0.0,0.0,0.0
Signature.3,0.0,0.0,0.0
Signature.4,0.0,0.0372024484744,0.0
Signature.5,0.0,0.0,0.0410595723877
Signature.6,0.0,0.0,0.0
Signature.7,0.0248175871915,0.0,0.116752739931
Signature.8,0.0,0.0,0.0
Signature.9,0.0246637083304,0.169346056974,0.095369914712
Signature.10,0.0,0.212243238048,0.0348417089654
Signature.11,0.233574379105,0.0229326857719,0.0
Signature.12,0.173913475815,0.0,0.0
Signature.13,0.0,0.0116974454708,0.0
Signature.14,0.0,0.0172301531376,0.0
Signature.15,0.0,0.0150601310653,0.0774237812581
Signature.16,0.0249749304524,0.106097218288,0.0495773103003
Signature.17,0.0,0.0293640895238,0.0
Signature.18,0.0,0.0,0.0
Signature.19,0.0861969488289,0.0,0.0
Signature.20,0.0,0.0,0.353867172814
Signature.21,0.0251058909265,0.0,0.0
Signature.22,0.114879226387,0.0,0.0487875868292
Signature.23,0.0,0.0,0.0
Signature.24,0.0,0.0,0.0365119833205
Signature.25,0.0,0.0949585400325,0.0
Signature.26,0.0196283580208,0.0,0.0
Signature.27,0.0,0.283867993214,0.0154786985459
Signature.28,0.0,0.0,0.130329530936
Signature.29,0.0,0.0,0.0
Signature.30,0.0184431542632,0.0,0.0
