,1:3:2:4:7:6,5
Signature.1,0.0,0.0
Signature.2,0.0226548863343,0.0490202028968
Signature.3,0.0119118329564,0.0
Signature.4,0.0238924679131,0.0
Signature.5,0.0,0.0163156646865
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0,0.0
Signature.9,0.0,0.0699049361603
Signature.10,0.0857843073969,0.0170505214124
Signature.11,0.0159137995832,0.0
Signature.12,0.0,0.0
Signature.13,0.418070195408,0.0508820093251
Signature.14,0.0,0.288962985017
Signature.15,0.0874653308564,0.243637816234
Signature.16,0.0527554757882,0.0
Signature.17,0.0,0.0511553023012
Signature.18,0.121302213248,0.0
Signature.19,0.0,0.014742137351
Signature.20,0.0275614358993,0.0107564886049
Signature.21,0.0,0.0657414903418
Signature.22,0.0,0.0
Signature.23,0.0146876104508,0.0
Signature.24,0.0115428360479,0.0
Signature.25,0.0126808839444,0.0
Signature.26,0.0,0.0890933181175
Signature.27,0.0121589530854,0.0
Signature.28,0.0406922558629,0.0220971960482
Signature.29,0.0409255152244,0.0106399315034
Signature.30,0.0,0.0
