,1:5:4:6,3:2,7
Signature.1,0.0,0.0849406163307,0.0138453637659
Signature.2,0.0,0.0,0.0
Signature.3,0.152327238214,0.111041780519,0.0524029928008
Signature.4,0.0,0.0166141135565,0.0547827823338
Signature.5,0.0,0.0,0.0
Signature.6,0.0,0.0139651937269,0.0
Signature.7,0.0,0.0382839262225,0.0
Signature.8,0.0,0.0,0.0
Signature.9,0.0,0.0936061999173,0.0
Signature.10,0.23892131745,0.0448496166684,0.0164998257805
Signature.11,0.273397822575,0.0,0.0
Signature.12,0.0,0.0,0.0
Signature.13,0.0222547356648,0.0,0.341828212509
Signature.14,0.0,0.0229297358314,0.0
Signature.15,0.0,0.0381889014973,0.0300504777448
Signature.16,0.0,0.0,0.0
Signature.17,0.0,0.0,0.0
Signature.18,0.0108159191399,0.0,0.0
Signature.19,0.0,0.0,0.0127077078005
Signature.20,0.0,0.0,0.0
Signature.21,0.0,0.0,0.0
Signature.22,0.0,0.0994176365882,0.0
Signature.23,0.0554370319271,0.0,0.0844230277512
Signature.24,0.0,0.0,0.0
Signature.25,0.0,0.0,0.151357815968
Signature.26,0.0105328167642,0.0,0.0
Signature.27,0.0,0.0135830831426,0.0
Signature.28,0.0,0.0,0.0129909251674
Signature.29,0.0,0.0287001731835,0.14777199967
Signature.30,0.236313118265,0.393879022816,0.0813388687083
