,1:3:2:5:4
Signature.1,0.0641971353352
Signature.2,0.0840437136323
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0677000738814
Signature.6,0.0
Signature.7,0.0
Signature.8,0.174800805222
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0609903428793
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0167653640202
Signature.17,0.0693994180585
Signature.18,0.0
Signature.19,0.208230543941
Signature.20,0.0109744676493
Signature.21,0.0
Signature.22,0.0116776330569
Signature.23,0.180858005015
Signature.24,0.0219718689431
Signature.25,0.0
Signature.26,0.0
Signature.27,0.0
Signature.28,0.013280722216
Signature.29,0.0
Signature.30,0.0151099061499
