,1,3:2:5:4
Signature.1,0.055752867949,0.0
Signature.2,0.0393922520071,0.0109806823034
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.0,0.198497511999
Signature.6,0.0,0.0
Signature.7,0.0,0.0
Signature.8,0.0766951927837,0.0215457586358
Signature.9,0.0,0.0
Signature.10,0.117687875702,0.188868690781
Signature.11,0.219840378524,0.0
Signature.12,0.0,0.0371407641911
Signature.13,0.0122380743732,0.0
Signature.14,0.0,0.0
Signature.15,0.0291272183612,0.0197512459413
Signature.16,0.0276855420815,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0452889264257
Signature.19,0.0,0.0
Signature.20,0.0,0.05710881164
Signature.21,0.0204366437576,0.0254347597361
Signature.22,0.0,0.0
Signature.23,0.0935462879238,0.0
Signature.24,0.152499028307,0.344561666403
Signature.25,0.0,0.0
Signature.26,0.0178022683277,0.0
Signature.27,0.115889124649,0.0281106705861
Signature.28,0.0,0.0
Signature.29,0.0214072452526,0.0
Signature.30,0.0,0.0227105113574
