,1:3:2:7,5:4:6
Signature.1,0.0121276097003,0.10815099374
Signature.2,0.0633344682419,0.0
Signature.3,0.0,0.0
Signature.4,0.0,0.0
Signature.5,0.168732886131,0.0
Signature.6,0.0,0.0150048844696
Signature.7,0.0,0.23978407421
Signature.8,0.0369664548058,0.0
Signature.9,0.0,0.0
Signature.10,0.0780585989847,0.0
Signature.11,0.0,0.0
Signature.12,0.195991829488,0.197739251632
Signature.13,0.0863112784393,0.0
Signature.14,0.0141251148181,0.148081187048
Signature.15,0.0,0.0
Signature.16,0.0504743934599,0.0
Signature.17,0.0,0.0
Signature.18,0.0,0.0
Signature.19,0.0557675911939,0.0744255184641
Signature.20,0.0,0.0239296494302
Signature.21,0.05068377412,0.0140139055573
Signature.22,0.0245826582561,0.0
Signature.23,0.0,0.0
Signature.24,0.0,0.0262174103033
Signature.25,0.0352776212118,0.0
Signature.26,0.0993593917258,0.0741010811163
Signature.27,0.0,0.0641694426508
Signature.28,0.0282063294234,0.0
Signature.29,0.0,0.0
Signature.30,0.0,0.0143826013784
